id	lemma	pure	translit	full_definition
H37	אֲבִיטָל	אביטל	ʼĂbîyṭâl	Abital = "my father is (the) dew" 1) a wife of David exegesis:from אָב H1 and טַל H2919 ; father of dew (i.e. fresh); explanation: Abital , a wife of King David translation:Abital.
H38	אֲבִיָּם	אבים	ʼĂbîyâm	Abijam = "my father is the sea" or "Yah(u) is (my) father" 1) king of Judah, son and successor of Rehoboam exegesis:from אָב H1 and יָם H3220 ; father of (the) sea (i.e. seaman); explanation: Abijam (or Abijah), a king of Judah translation:Abijam.
H39	אֲבִימָאֵל	אבימאל	ʼĂbîymâʼêl	Abimael = "my father is El (God)" 1) son of Joktan, descendant of Shem exegesis:from אָב H1 and an elsewhere unused (probably foreign) word; father of Mael (apparently some Arab tribe); explanation: Abimael , a son of Joktan translation:Abimael.
H40	אֲבִימֶלֶךְ	אבימלך	ʼĂbîymelek	Abimelech = "Melek is father" or "my father is king" 1) king of Gerar in Abraham's time 2) king of Gath in David's time; maybe title of Philistine kings 3) son of Gideon by a concubine 4) priest, son of Abiathar exegesis:from אָב H1 and מֶלֶךְ H4428 ; father of (the) king; explanation: Abimelek , the name of two Philistine kings and of two Israelites translation:Abimelech.
H41	אֲבִינָדָב	אבינדב	ʼĂbîynâdâb	Abinadab = "my father is noble" or "my father is willing" 1) a man of Gibeah who sheltered the ark 2) second son of Jesse, David's older brother 3) a son of Saul, slain with him by the Philistines exegesis:from אָב H1 and נָדַב H5068 ; father of generosity (i.e. liberal); explanation: Abinadab , the name of four Israelites translation:Abinadab.
H42	אֲבִינֹעַם	אבינעם	ʼĂbîynôʻam	Abinoam = "my father is delight" 1) father of Barak, descendant of Naphtali exegesis:from אָב H1 and נֹעַם H5278 ; father of pleasantness (i.e. gracious); explanation: Abinoam , an Israelite translation:Abinoam.
H43	אֶבְיָסָף	אביסף	ʼEbyâçâph	Ebiasaph = "my father has gathered" 1) a son or descendant of Korah exegesis:contracted from אֲבִיאָסָף H23 ; explanation: Ebjasaph , an Israelite translation:Ebiasaph.
H44	אֲבִיעֶזֶר	אביעזר	ʼĂbîyʻezer	Abiezer = "my father is help" 1) a Manassite, called "son" of Gilead, also son of Gilead's sister 2) a Benjamite, warrior of David exegesis:from אָב H1 and עֵזֶר H5829 ; father of help (i.e. helpful); explanation: Abiezer , the name of two Israelites translation:Abiezer.
H45	אֲבִי־עַלְבוֹן	אביעלבון	ʼĂbîy-ʻalbôwn	Abialbon = "El (God) is my father" 1) one of David's mighty men (hero) exegesis:from אָב H1 and an unused root of uncertain derivation; probably, father of strength (i.e. valiant); explanation: Abialbon , an Israelite translation:Abialbon.
H46	אָבִיר	אביר	ʼâbîyr	[G:references: G32,G1415,G2478,G5022] 1) strong, mighty-used only to describe God 2) the Strong-old name for God (poetic) exegesis:from אָבַר H82 ; explanation: mighty (spoken of God) translation:mighty (one).
H47	אַבִּיר	אביר	ʼabbîyr	[G:references: G102,G1413,G2316,G2479,G2480] 1) mighty, valiant 1a) of men 1b) of angels 1c) of animals 1d) (metaph) 1d1) of enemies 1d2) of princes 1d3) of sacrificial objects 1e) obstinate (fig.) exegesis:for אָבִיר H46 explanation:{ mighty (spoken of God)} translation:angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant.
H48	אֲבִירָם	אבירם	ʼĂbîyrâm	Abiram = "my father is exalted" or "(the) Exalted One is (my) father" 1) a Reubenite, son of Eliab in exodus 2) son of Hiel the Bethelite who worked to rebuild Jericho exegesis:from אָב H1 and רוּם H7311 ; father of height (i.e. lofty); explanation: Abiram , the name of two Israelites translation:Abiram.
H49	אֲבִישַׁג	אבישג	ʼĂbîyshag	Abishag = "my father is a wanderer" 1) David's beautiful young nurse exegesis:from אָב H1 and שָׁגָה H7686 ; father of error (i.e. blundering); explanation: Abishag , a concubine of David translation:Abishag.
H50	אֲבִישׁוּעַ	אבישוע	ʼĂbîyshûwaʻ	x-typo:xlit ʼĂbîyshûwac corrected to Abishua = "my father is rescue (safety), or is opulence" 1) son of Phinehas, grandson of Aaron exegesis:from אָב H1 and שׁוֹעַ H7771 ; father of plenty (i.e. prosperous); explanation: Abishua , the name of two Israelites translation:Abishua.
H51	אֲבִישׁוּר	אבישור	ʼĂbîyshûwr	Abishur = "my father is a wall" 1) son of Shammai, descendant of Judah exegesis:from אָב H1 and שׁוּר H7791 ; father of (the) wall (i.e. perhaps mason); explanation: Abishur , an Israelite translation:Abishur.
H52	אֲבִישַׁי	אבישי	ʼĂbîyshay	Abishai = "my father is Jesse" or "my father is a gift" 1) grandson of Jesse, nephew of David via his sister Zeruiah, brother of Joab exegesis:or (shorter) אַבְשַׁי H ; from אָב H1 and שַׁי H7862 ; father of a gift (i.e. probably generous); explanation: Abishai , an Israelite translation:Abishai.
H53	אֲבִישָׁלוֹם	אבישלום	ʼĂbîyshâlôwm	Absalom or Abishalom = "my father is peace" 1) father-in-law of Rehoboam 2) third son of David, killer of first-born son Amnon, also leader of revolt against his father-David exegesis:or (shortened) אַבְשָׁלוֹם H ; from אָב H1 and שָׁלוֹם H7965 ; father of peace (i.e. friendly); explanation: Abshalom , a son of David; also (the fuller form) a later Israelite translation:Abishalom, Absalom.
H54	אֶבְיָתָר	אביתר	ʼEbyâthâr	[G:references: G8] Abiathar = "my father is great" 1) priest, son of Ahitub (Ahimelech), faithful to David, but later rebelled with Adonijah exegesis:contracted from אָב H1 and יָתַר H3498 ; father of abundance (i.e. liberal); explanation: Ebjathar , an Israelite translation:Abiathar.
H55	אָבַךְ	אבך	ʼâbak	1) to roll, turn 1a) (Hithpael) to roll, roll up, billow exegesis:a primitive root; explanation:probably to coil upward translation:mount up.
H56	אָבַל	אבל	ʼâbal	[G:references: G2354,G2400,G3996,G4133,G4727] 1) to mourn, lament 1a) (Qal) to mourn, lament 1a1) of humans 1a2) of inanimate objects (fig.) 1a2a) of gates 1a2b) of land 1b) (Hiphil) 1b1) to mourn, cause to mourn (fig.) 1c) (Hithpael) 1c1) to mourn 1c2) play the mourner exegesis:a primitive root; explanation: to bewail translation:lament, mourn.
H57	אָבֵל	אבל	ʼâbêl	[G:references: G93,G93,G94,G458,G1342,G3076,G3900,G4835] 1) mourning 1a) for the dead 1b) because of calamity 1c) of rites of mourning 2) mourner (subst.) 2a) for the dead 2b) for calamity exegesis:from אָבַל H56 ; explanation: lamenting translation:mourn(-er, -ing).
H58	אָבֵל	אבל	ʼâbêl	[G:references: G9] 1) meadow (from verb-to grow green, to withstand) exegesis:from an unused root (meaning to be grassy); explanation: a meadow translation:plain. Compare also the proper names beginning with Abel-.
H59	אָבֵל	אבל	ʼÂbêl	1) city in northern Israel near Bethmaachah 2) the place where the ark rested in the field of Joshua at Bethshemesh exegesis:from אָבֵל H58 ; a meadow; explanation: Abel , the name of two places in Palestine. translation:Abel.
H60	אֵבֶל	אבל	ʼêbel	[G:references: G2805,G3601,G3806,G3997] 1) mourning 1a) for the dead 1b) for rites of mourning (metaph) 1c) mourning garb 1d) period of mourning exegesis:from אָבַל H56 ; explanation: lamentation translation:mourning.
H61	אֲבָל	אבל	ʼăbâl	1) truly, verily, surely 2) but, however, howbeit 3) contrariwise, nay rather (neg.) exegesis:apparently from אָבַל H56 through the idea of negation; explanation: nay , i.e. truly or yet translation:but, indeed, nevertheless, verily.
