id	unicode_word	translit	pronunciation	full_definition
G00139	αἵρεσις	haíresis	hah'-ee-res-is	139 from ; properly, a choice, i.e. (specially) a party or (abstractly) disunion :--heresy (which is the Greek word itself), sect.
G00140	αἱρετίζω	hairetízō	hahee-ret-id'-zo	140 from a derivative of ; to make a choice :--choose.
G00141	αἱρετικός	hairetikós	hahee-ret-ee-kos'	141 from the same as ; a schismatic :--heretic (the Greek word itself).
G00142	αἴρω	aírō	ah'-ee-ro	142 a primary root; to lift up; by implication, to take up or away; figuratively, to raise (the voice), keep in suspense (the mind), specially, to sail away (i.e. weigh anchor); by Hebraism (compare ) to expiate sin :--away with, bear (up), carry, lift up, loose, make to doubt, put away, remove, take (away, up).
G00143	αἰσθάνομαι	aisthánomai	ahee-sthan'-om-ahee	143 of uncertain derivation; to apprehend (properly, by the senses) :--perceive.
G00144	αἴσθησις	aísthēsis	ah'-ee-sthay-sis	144 from ; perception, i.e. (figuratively) discernment :--judgment.
G00145	αἰσθητήριον	aisthētḗrion	ahee-sthay-tay'-ree-on	145 from a derivative of ; properly, an organ of perception, i.e. (figuratively) judgment :--senses.
G00146	αἰσχροκερδής	aischrokerdḗs	ahee-skhrok-er-dace'	146 from and (gain); sordid :--given to (greedy of) filthy lucre.
G00147	αἰσχροκερδῶς	aischrokerdōs	ahee-skhrok-er-doce'	147 adverb from ; sordidly :--for filthy lucre's sake.
G00148	αἰσχρολογία	aischrología	ahee-skhrol-og-ee'-ah	148 from and ; vile conversation :--filthy communication.
G00149	αἰσχρόν	aischrón	ahee-skhron'	149 neuter of ; a shameful thing, i.e. indecorum :--shame.
G00150	αἰσχρός	aischrós	ahee-skhros'	150 from the same as ; shameful, i.e. base (specially, venal) :--filthy.
G00151	αἰσχρότης	aischrótēs	ahee-skhrot'-ace	151 from ; shamefulness, i.e. obscenity :--filthiness.
G00152	αἰσχύνη	aischýnē	ahee-skhoo'-nay	152 from ; shame or disgrace (abstractly or concretely) :--dishonesty, shame.
G00153	αἰσχύνομαι	aischýnomai	ahee-skhoo'-nom-ahee	153 from (disfigurement, i.e. disgrace); to feel shame (for oneself) :--be ashamed.
G00154	αἰτέω	aitéō	ahee-teh'-o	154 of uncertain derivation; to ask (in genitive case) :--ask, beg, call for, crave, desire, require. Compare .
G00155	αἴτημα	aítēma	ah'-ee-tay-mah	155 from ; a thing asked or (abstractly) an asking :--petition, request, required.
G00156	αἰτία	aitía	ahee-tee'-a	156 from the same as ; a cause (as if asked for), i.e. (logical) reason (motive, matter), (legal) crime (alleged or proved) :--accusation, case, cause, crime, fault, (wh-)ere(-fore).
G00157	αἰτίαμα	aitíama	ahee-tee'-am-ah	157 from a derivative of ; a thing charged :--complaint.
G00158	αἴτιον	aítion	ah'-ee-tee-on	158 neuter of ; a reason or crime (like ) :--cause, fault.
G00159	αἴτιος	aítios	ah'-ee-tee-os	159 from the same as ; causative, i.e. (concretely) a causer :--author.
G00160	αἰφνίδιος	aiphnídios	aheef-nid'-ee-os	160 from a compound of (as a negative particle) and (compare ) (meaning non-apparent); unexpected, i.e. (adverbially) suddenly :--sudden, unawares.
G00161	αἰχμαλωσία	aichmalōsía	aheekh-mal-o-see'-ah	161 from ; captivity :--captivity.
G00162	αἰχμαλωτεύω	aichmalōteúō	aheekh-mal-o-tew'-o	162 from ; to capture (like ) :--lead captive.
G00163	αἰχμαλωτίζω	aichmalōtízō	aheekh-mal-o-tid'-zo	163 from ; to make captive :--lead away captive, bring into captivity.
G00164	αἰχμάλωτος	aichmálōtos	aheekh-mal-o-tos'	164 from (a spear) and a derivative of the same as ; properly, a prisoner of war, i.e. (genitive case) a captive :--captive.
G00165	αἰών	aiṓn	ahee-ohn'	165 from the same as ; properly, an age; by extension, perpetuity (also past); by implication, the world; specially (Jewish) a Messianic period (present or future) :--age, course, eternal, (for) ever(-more), (n-)ever, (beginning of the , while the) world (began, without end). Compare .
G00166	αἰώνιος	aiṓnios	ahee-o'-nee-os	166 from ; perpetual (also used of past time, or past and future as well) :--eternal, for ever, everlasting, world (began).
G00167	ἀκαθαρσία	akatharsía	ak-ath-ar-see'-ah	167 from ; impurity (the quality), physically or morally :--uncleanness.
G00168	ἀκαθάρτης	akathártēs	ak-ath-ar'-tace	168 from ; impurity (the state), morally :--filthiness.
G00169	ἀκάθαρτος	akáthartos	ak-ath'-ar-tos	169 from (as a negative particle) and a presumed derivative of (meaning cleansed); impure (ceremonially, morally (lewd) or specially, (demonic)) :--foul, unclean.
G00170	ἀκαιρέομαι	akairéomai	ak-ahee-reh'-om-ahee	170 from a compound of (as a negative particle) and (meaning unseasonable); to be inopportune (for oneself), i.e. to fail of a proper occasion :--lack opportunity.
G00171	ἀκαίρως	akaírōs	ak-ah'-ee-roce	171 adverb from the same as ; inopportunely :--out of season.
G00172	ἄκακος	ákakos	ak'-ak-os	172 from (as a negative particle) and ; not bad, i.e. (objectively) innocent or (subjectively) unsuspecting :--harmless, simple.
G00173	ἄκανθα	ákantha	ak'-an-thah	173 probably from the same as ; a thorn :--thorn.
G00174	ἀκάνθινος	akánthinos	ak-an'-thee-nos	174 from ; thorny :--of thorns.
G00175	ἄκαρπος	ákarpos	ak'-ar-pos	175 from (as a negative particle) and ; barren (literally or figuratively) :--without fruit, unfruitful.
G00176	ἀκατάγνωστος	akatágnōstos	ak-at-ag'-noce-tos	176 from (as a negative particle) and a derivative of ; unblamable :--that cannot be condemned.
G00177	ἀκατακάλυπτος	akatakályptos	ak-at-ak-al'-oop-tos	177 from (as a negative particle) and a derivative of a compound of and ; unveiled :--uncovered.
G00178	ἀκατάκριτος	akatákritos	ak-at-ak'-ree-tos	178 from (as a negative particle) and a derivative of ; without (legal) trial :--uncondemned.
G00179	ἀκατάλυτος	akatálytos	ak-at-al'-oo-tos	179 from (as a negative particle) and a derivative of ; indissoluble, i.e. (figuratively) permanent :--endless.
G00180	ἀκατάπαυστος	akatápaustos	ak-at-ap'-ow-stos	180 from (as a negative particle) and a derivative of ; unrefraining :--that cannot cease.
G00181	ἀκαταστασία	akatastasía	ak-at-as-tah-see'-ah	181 from ; instability, i.e. disorder :--commotion, confusion, tumult.
G00182	ἀκατάστατος	akatástatos	ak-at-as'-tat-os	182 from (as a negative particle) and a derivative of ; inconstant :--unstable.
G00183	ἀκατάσχετος	akatáschetos	ak-at-as'-khet-os	183 from (as a negative particle) and a derivative of ; unrestrainable :--unruly.
G00184	Ἀκελδαμά	Akeldamá	ak-el-dam-ah'	184 of Chaldee origin (meaning field of blood; corresponding to and ); Akeldama, a place near Jerusalem :--Aceldama.
G00185	ἀκέραιος	akéraios	ak-er'-ah-yos	185 from (as a negative particle) and a presumed derivative of ; unmixed, i.e. (figuratively) innocent :--harmless, simple.
G00186	ἀκλινής	aklinḗs	ak-lee-nace'	186 from (as a negative particle) and ; not leaning, i.e. (figuratively) firm :--without wavering.
G00187	ἀκμάζω	akmázō	ak-mad'-zo	187 from the same as ; to make a point, i.e. (figuratively) mature :--be fully ripe.
G00188	ἀκμήν	akmḗn	ak-mane'	188 accusative case of a noun ("acme") akin to (a point) and meaning the same; adverbially, just now, i.e. still :--yet.
G00189	ἀκοή	akoḗ	ak-o-ay'	189 from ; hearing (the act, the sense or the thing heard) :--audience, ear, fame, which ye heard, hearing, preached, report, rumor.
G00190	ἀκολουθέω	akolouthéō	ak-ol-oo-theh'-o	190 from (as a particle of union) and (a road); properly, to be in the same way with, i.e. to accompany (specially, as a disciple) :--follow, reach.
G00191	ἀκούω	akoúō	ak-oo'-o	191 a primary verb; to hear (in various senses) :--give (in the) audience (of), come (to the ears), (shall) hear(-er, -ken), be noised, be reported, understand.
G00192	ἀκρασία	akrasía	ak-ras-ee'-a	192 from ; want of self-restraint :--excess, incontinency.
G00193	ἀκρατής	akratḗs	ak-rat'-ace	193 from (as a negative particle) and ; powerless, i.e. without self-control :--incontinent.
G00194	ἄκρατος	ákratos	ak'-rat-os	194 from (as a negative particle) and a presumed derivative of ; undiluted :--without mixture.
G00195	ἀκρίβεια	akríbeia	ak-ree'-bi-ah	195 from the same as ; exactness :--perfect manner.
G00196	ἀκριβέστατος	akribéstatos	ak-ree-bes'-ta-tos	196 superlative of (a derivative of the same as ); most exact :--most straitest.
G00197	ἀκριβέστερον	akribésteron	ak-ree-bes'-ter-on	197 neuter of the comparative of the same as ; (adverbially) more exactly :--more perfect(-ly).
G00198	ἀκριβόω	akribóō	ak-ree-bo'-o	198 from the same as ; to be exact, i.e. ascertain :--enquire diligently.
G00199	ἀκριβῶς	akribōs	ak-ree-boce'	199 adverb from the same as ; exactly :--circumspectly, diligently, perfect(-ly).
